type,name,notice,furigana
Central《島田中心エリア》,龍月堂,創業100年以上の伝統を守りつつ、新たな菓子作りをしている和洋菓子店<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,り
Central《島田中心エリア》,ローズショップ,ばらの丘公園のショップより西隣に新築移転オープン<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,ろ
East《六合エリア》,味わい処 座楽,老若男女問わず食を楽しめるお店<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,あ
East《六合エリア》,魚一,創業明治元年の日本料理店です<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,う
East《六合エリア》,ケーキ工房リモージュ,季節のケーキと本物そっくり面白ケーキ<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,け
East《六合エリア》,シバモクショップ,かわいい木製雑貨がいっぱい 大人気の動物スプーン<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,し
East《六合エリア》,とりっこ倶楽部ホシノ,珍しい卵と一黒シャモの肉、手づくりプリン。健康補助食品も<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,と
East《六合エリア》,Plus Style Garden Teimu,緑に囲まれた暮らしの提案。洋服、雑貨、花、庭づくりまで暮らしに彩りを。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,ふ
North《川根エリア》,朝日園 駅前本店,大井川鉄道家山駅前。茶の香ただよう店内で新茶を楽しめます。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,あ
North《川根エリア》,お食事処たばこ屋,テーブルとお座席があり、様々な用途でご利用頂けます<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,お
North《川根エリア》,加藤菓子舗,川根大福、川根抹茶プリンなど川根茶を使ったお菓子を販売しています<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,か
